 Date,Campaign_Source,Video_ID,Category,Subcategory,Presenter,RPV,TotalViews,ViewsOffsite,ViewsOnsite,GrossRevenue,TotalUnitsSold,TotalSecondsViewed,SecondsViewedOffsite,SecondsViewedOnsite,SalePrice
6/24/16,syndication-aol-hp-test,2113,Beauty,Skincare,Zoe Ruderman,0.39,12555,12442,113,4894,32,772356,766714,5642,152.94
6/24/16,syndication-aol-hp-test,3067,Apparel,Sweaters,Alison Deyette,0.3,5850,5580,270,1784,35,193019,182736,10283,50.97
6/24/16,syndication-aol-hp-test,3013,Beauty,Skincare,Susan Yara,0,10781,10504,277,0,0,600164,588811,11353,
6/23/16,syndication-aol-hp-test,2518,Home,Storage & Organization,Marcy McKenna,1.3,3948,3863,85,5117,29,336867,330547,6320,176.45
6/23/16,syndication-aol-hp-test,3132,Beauty,Tools,Jamie Greenberg,0.27,13296,13213,83,3612,84,1143430,1135335,8095,43
6/23/16,syndication-comcast,2518,Home,Storage & Organization,Marcy McKenna,1.1,1956,0,1956,2148,12,190784,0,190784,179
6/23/16,syndication-aol-hp-test,3065,Accessories,Bags,Zoe Ruderman,0.43,8751,8618,133,3740,55,400110,392877,7233,68
6/23/16,syndication-aol-hp-test,2935,Accessories,Shoes,Lindsay Albanese,0.49,1058,1048,10,520,8,38391,38010,381,65
6/22/16,syndication-aol-hp-test,3063,Home,Storage & Organization,Marcy McKenna,1.63,8448,7973,475,13800,200,605993,572641,33352,69
6/22/16,syndication-aol-hp-test,3064,Beauty,Makeup,Naomi Priestley,0.24,6810,6688,122,1620,24,538146,526518,11628,67.5
6/22/16,syndication-aol-hp-test,2935,Accessories,Shoes,Lindsay Albanese,0.26,4229,4200,29,1105,17,148619,147456,1163,65
6/21/16,syndication-aol-hp-test,3043,Home,Travel,Marcy McKenna,0.45,2891,2830,61,1292,19,257244,251993,5251,68
6/21/16,syndication-aol-hp-test,2518,Home,Storage & Organization,Marcy McKenna,1.32,7193,6979,214,9487,53,611327,596587,14740,179
6/21/16,syndication-aol-hp-test,2976,Beauty,Hair,Jamie Greenberg,0.12,13677,13405,272,1620,90,966659,947691,18968,18
6/20/16,syndication-aol-hp-test,3060,Beauty,Skincare,Zoe Ruderman,0.21,6509,6253,256,1371,35,328121,311892,16229,39.17
6/20/16,syndication-aol-hp-test,3043,Home,Travel,Marcy McKenna,0.33,2455,2392,63,816,12,215472,210875,4597,68
6/19/16,syndication-aol-hp-test,2992,Home,Travel,Marcy McKenna,0.03,12665,12100,565,324,3,1161435,1130288,31147,108
6/19/16,syndication-aol-hp-test,2778,Health & Fitness,Hydration,Zoe Ruderman,0.29,2065,2021,44,590,16,89893,88290,1603,36.88
6/18/16,syndication-aol-hp-test,2944,Beauty,Skincare,Zoe Ruderman,0.47,5913,5849,64,2789.5,76,323141,320366,2775,36.7
6/18/16,syndication-aol-hp-test,2995,Apparel,Dresses,Karla Cavalli,0.15,7421,7389,32,1104,8,355114,353995,1119,138
6/17/16,syndication-aol-hp-test,2879,Home,Kitchen & Food,Marcy McKenna,0.2,32703,32296,407,6480,144,1913133,1893792,19341,45
6/17/16,syndication-aol-hp-test,3047,Accessories,Shoes,Alison Deyette,0.32,12104,11991,113,3900,65,508894,504852,4042,60
6/17/16,syndication-aol-hp-test,895,Beauty,Bath & Body,Susan Yara,0.04,1019,406,613,45,2,63845,23168,40677,22.5
6/16/16,syndication-aol-hp-test,2662,Home,Storage & Organization,Marcy McKenna,0.56,13408,13294,114,7552,64,822163,816709,5454,118
6/16/16,syndication-aol-hp-test,3048,Apparel,Skirts,Zoe Ruderman,0.17,10819,10413,406,1890,27,546650,521188,25462,70
6/16/16,syndication-comcast,2879,Home,Kitchen & Food,Marcy McKenna,0.29,4078,0,4078,1170,26,325384,0,325384,45
6/15/16,syndication-aol-hp-test,2326,Home,Kitchen & Food,Marcy McKenna,0.36,17293,16967,326,6162,79,1027291,1011565,15726,78
6/15/16,syndication-aol-hp-test,3005,Beauty,Makeup,Jamie Greenberg,0.3,12461,11876,585,3708,206,658836,628499,30337,18
6/14/16,syndication-aol-hp-test,3054,Beauty,Tools,Zoe Ruderman,0.36,16169,15968,201,5777,53,1365844,1345834,20010,109
6/14/16,syndication-aol-hp-test,2778,Health & Fitness,Hydration,Zoe Ruderman,0.22,9386,9136,250,2060,52,373804,365331,8473,39.62
6/14/16,syndication-aol-hp-test,3050,Accessories,Fashion Jewelry,Anita Patrickson,0.19,10309,10004,305,1979,50,328091,316728,11363,39.58
6/13/16,syndication-aol-hp-test,3049,Home,Tech Accessories,Marcy McKenna,0.06,32061,31942,119,2064,16,1386488,1378282,8206,129
6/13/16,syndication-aol-hp-test,2758,Accessories,Shoes,Zoe Ruderman,0.14,14757,14617,140,2064,16,588151,583626,4525,129
6/13/16,syndication-aol-hp-test,3054,Beauty,Tools,Zoe Ruderman,0.3,14718,14488,230,4469,41,1136801,1108961,27840,109
6/13/16,syndication-aol-hp-test,3043,Home,Travel,Marcy McKenna,0.47,1309,1285,24,612,18,118117,115693,2424,34
6/12/16,syndication-aol-hp-test,2843,Apparel,Tops,Anita Patrickson,0.09,5562,5545,17,476,7,188208,187543,665,68
6/12/16,syndication-aol-hp-test,2385,Home,Storage & Organization,Marcy McKenna,0.16,3858,3832,26,624,13,193459,192226,1233,48
6/12/16,syndication-aol-hp-test,3043,Home,Travel,Marcy McKenna,0.35,13954,13875,79,4896,144,1294583,1288711,5872,34
6/11/16,syndication-aol-hp-test,2944,Beauty,Skincare,Zoe Ruderman,0.51,10259,10183,76,5202.5,150,585709,580981,4728,34.68
6/11/16,syndication-aol-hp-test,3043,Home,Travel,Marcy McKenna,0.44,2368,2250,118,1039.5,31,222242,210544,11698,33.53
6/11/16,syndication-aol-hp-test,2949,Accessories,Shoes,Zoe Ruderman,0.28,6430,6383,47,1807,13,276613,275027,1586,139
6/10/16,syndication-aol-hp-test,1660,Beauty,Hair,Tracy O'Connor,0.31,19255,18570,685,5933,133,995278,958996,36282,44.61
6/10/16,syndication-aol-hp-test,2932,Apparel,Tops,Alison Deyette,0.11,5009,5001,8,531,9,172185,171965,220,59
6/10/16,syndication-aol-hp-test,3043,Home,Travel,Marcy McKenna,0.44,27496,27233,263,12124,355,2457409,2435223,22186,34.15
6/10/16,syndication-aol-hp-test,2348,Home,Storage & Organization,Marcy McKenna,0.19,15837,15663,174,3069,81,1043100,1032599,10501,37.89
6/9/16,syndication-aol-hp-test,2170,Home,Storage & Organization,Marcy McKenna,0.12,15510,15348,162,1879.71,29,611053,603603,7450,64.82
6/9/16,syndication-aol-hp-test,2944,Beauty,Skincare,Zoe Ruderman,0.64,1105,1091,14,706.5,21,61665,60699,966,33.64
6/9/16,syndication-aol-hp-test,3042,Beauty,Skincare,Zoe Ruderman,0.25,24779,24385,394,6255,45,1768558,1735696,32862,139
6/9/16,syndication-aol-hp-test,2613,Accessories,Bags,Marcy McKenna,0.18,25165,24906,259,4557,93,1244733,1231312,13421,49
6/8/16,syndication-aol-hp-test,3021,Accessories,Shoes,Tienlyn Jacobson,0.1,14987,14846,141,1485,11,537771,532671,5100,135
6/8/16,syndication-aol-hp-test,2944,Beauty,Skincare,Zoe Ruderman,0.47,9093,9004,89,4308,122,491759,487775,3984,35.31
6/8/16,syndication-aol-hp-test,2882,Apparel,Dresses,Marcellas Reynolds,0.09,27928,27717,211,2615,65,1113787,1104585,9202,40.23
6/8/16,syndication-aol-hp-test,2288,Beauty,Skincare,Mikaela South,0.12,13893,13737,156,1734,68,1442975,1430846,12129,25.5
6/7/16,syndication-aol-hp-test,2992,Home,Travel,Marcy McKenna,0.03,10191,9792,399,266,3,919280,898145,21135,88.67
6/7/16,syndication-aol-hp-test,3039,Accessories,Fashion Jewelry,Tienlyn Jacobson,0.08,4613,4369,244,392,8,202791,191356,11435,49
6/7/16,syndication-aol-hp-test,2569,Home,Tech Accessories,Jessica Chobot,0.1,26532,26273,259,2730,39,1215491,1203250,12241,70
6/7/16,syndication-aol-hp-test,3038,Accessories,Shoes,Zoe Ruderman,0.24,1001,897,104,240,3,47954,42417,5537,80
6/6/16,syndication-aol-hp-test,2294,Home,Storage & Organization,Marcy McKenna,0.05,19267,19199,68,935,32,1045393,1041728,3665,29.22
6/6/16,syndication-aol-hp-test,2768,Home,Storage & Organization,Marcy McKenna,0.04,31352,31249,103,1292,34,1213008,1209506,3502,38
6/6/16,syndication-aol-hp-test,3038,Accessories,Shoes,Zoe Ruderman,0.44,28221,27290,931,12308,154,1375345,1329929,45416,79.92
6/5/16,syndication-aol-hp-test,2980,Home,Cleaning & Laundry Care,Marcy McKenna,0.15,18670,18597,73,2832,618,955507,952222,3285,4.58
6/4/16,syndication-aol-hp-test,2905,Beauty,Hair,Zoe Ruderman,0.18,7503,7388,115,1345.5,39,667612,660245,7367,34.5
6/4/16,syndication-aol-hp-test,2784,Beauty,Tools,Zoe Ruderman,0.14,9313,9267,46,1320,132,670831,668139,2692,10
6/4/16,syndication-aol-hp-test,2626,Home,Tech Accessories,Marcy McKenna,0.08,22876,22728,148,1740,30,1220400,1212457,7943,58
6/4/16,syndication-aol-hp-test,2348,Home,Storage & Organization,Marcy McKenna,0.13,14523,14359,164,1940,50,963589,953804,9785,38.8
6/3/16,syndication-aol-hp-test,2897,Accessories,Shoes,Zoe Ruderman,0.18,1317,1301,16,240,4,51724,51086,638,60
6/3/16,syndication-aol-hp-test,2736,Beauty,Skincare,Susan Yara,0.07,15570,15449,121,1050,42,593388,588487,4901,25
6/3/16,syndication-aol-hp-test,2905,Beauty,Hair,Zoe Ruderman,0.13,24152,23786,366,3105,90,2058593,2034568,24025,34.5
6/3/16,syndication-aol-hp-test,2078,Beauty,Skincare,Mikaela South,0.1,16719,16652,67,1626,35,818625,815109,3516,46.46
6/3/16,syndication-aol-hp-test,3034,Accessories,Fashion Jewelry,Karla Cavalli,0.09,5053,4963,90,450,10,202789,199092,3697,45
6/2/16,syndication-aol-hp-test,2897,Accessories,Shoes,Zoe Ruderman,0.17,6034,5981,53,1020,17,235681,233720,1961,60
6/2/16,syndication-aol-hp-test,3024,Beauty,Skincare,Susan Yara,0.09,9930,9762,168,855,171,453802,447159,6643,5
6/2/16,syndication-aol-hp-test,2957,Beauty,Tools,Zoe Ruderman,0.36,10469,10197,272,3781,19,706169,684161,22008,199
6/2/16,syndication-aol-hp-test,2452,Home,Tech Accessories,Marcy McKenna,0.2,16980,16932,48,3350,67,860035,857979,2056,50
6/1/16,syndication-aol-hp-test,3027,Accessories,Shoes,Karla Cavalli,0.14,1035,995,40,150,1,28864,27161,1703,150
6/1/16,syndication-aol-hp-test,2449,Beauty,Tools,Susan Yara,0.12,1497,1421,76,180,6,65715,62057,3658,30
6/1/16,syndication-aol-hp-test,2985,Health & Fitness,Hydration,Jamie Greenberg,0.09,27531,27247,284,2575,67,1329446,1319856,9590,38.43
6/1/16,syndication-aol-hp-test,3032,Accessories,Shoes,Karla Cavalli,0.05,12764,12704,60,592,4,396104,393337,2767,148
6/1/16,syndication-aol-hp-test,2584,Home,Cleaning & Laundry Care,Marcy McKenna,0.47,1716,1692,24,812,28,96117,95219,898,29
6/1/16,syndication-aol-hp-test,3031,Apparel,Tops,Tienlyn Jacobson,0.09,11702,11443,259,1082,27,380058,370187,9871,40.07
5/31/16,syndication-aol-hp-test,3027,Accessories,Shoes,Karla Cavalli,0.33,11773,11554,219,3900,26,414056,406308,7748,150
5/31/16,syndication-aol-hp-test,2385,Home,Storage & Organization,Marcy McKenna,0.27,8235,8169,66,2233,46,424579,421170,3409,48.54
5/31/16,syndication-aol-hp-test,2584,Home,Cleaning & Laundry Care,Marcy McKenna,0.33,14616,14437,179,4785,165,835252,826035,9217,29
5/31/16,syndication-aol-hp-test,2449,Beauty,Tools,Susan Yara,0.09,27054,26632,422,2520,120,1250730,1228708,22022,21
5/30/16,syndication-aol-hp-test,3025,Accessories,Fashion Jewelry,Zoe Ruderman,0.22,4883,4750,133,1056,22,201033,195317,5716,48
5/30/16,syndication-aol-hp-test,2518,Home,Storage & Organization,Marcy McKenna,0.24,6583,6550,33,1575,7,404370,401445,2925,225
5/30/16,syndication-aol-hp-test,2813,Beauty,Skincare,Susan Yara,0,1670,1666,4,0,0,68160,67867,293,
5/30/16,syndication-aol-hp-test,2704,Home,Storage & Organization,Marcy McKenna,0.24,9349,9311,38,2244,33,414151,412632,1519,68
5/29/16,syndication-aol-hp-test,2174,Health & Fitness,Hydration,Zoe Ruderman,0.13,7996,7906,90,1030,26,388464,386027,2437,39.62
5/29/16,syndication-aol-hp-test,2530,Home,Kitchen & Food,Marcy McKenna,0.21,16376,16201,175,3440,86,964533,954613,9920,40
5/29/16,syndication-aol-hp-test,580,Home,Cleaning & Laundry Care,Kelley Moore,0,1661,1592,69,0,0,65794,63018,2776,
5/29/16,syndication-aol-hp-test,2518,Home,Storage & Organization,Marcy McKenna,0.26,6193,6108,85,1611,9,378387,370866,7521,179
5/28/16,syndication-aol-hp-test,2584,Home,Cleaning & Laundry Care,Marcy McKenna,0.39,7551,7431,120,2958,102,458374,451884,6490,29
5/28/16,syndication-aol-hp-test,2949,Accessories,Shoes,Zoe Ruderman,0.33,8883,8826,57,2919,21,392395,389976,2419,139
5/28/16,syndication-aol-hp-test,2127,Beauty,Bath & Body,Zoe Ruderman,0.41,13443,12881,562,5508,102,693668,665238,28430,54
5/27/16,syndication-aol-hp-test,2495,Home,Home Decor,Marcy McKenna,0.38,7220,7165,55,2720,17,392167,389386,2781,160
5/27/16,syndication-aol-hp-test,2518,Home,Storage & Organization,Marcy McKenna,0.37,17118,16959,159,6265,35,1088034,1077363,10671,179
5/27/16,syndication-aol-hp-test,3018,Accessories,Fashion Jewelry,Lindsay Albanese,0.09,2933,2897,36,273,7,102523,101016,1507,39
5/27/16,syndication-aol-hp-test,2935,Accessories,Shoes,Lindsay Albanese,0.52,5476,5424,52,2860,44,193268,191210,2058,65
5/26/16,syndication-aol-hp-test,2385,Home,Storage & Organization,Marcy McKenna,0.21,11111,11051,60,2366,49,568784,565789,2995,48.29
5/26/16,syndication-aol-hp-test,2830,Apparel,Dresses,Zoe Ruderman,0.31,2507,2352,155,780,10,108114,98743,9371,78
5/26/16,syndication-aol-hp-test,1660,Beauty,Hair,Tracy O'Connor,0.31,23874,22792,1082,7417,163,1297628,1231105,66523,45.5
5/26/16,syndication-aol-hp-test,2825,Home,Tech Accessories,Marcy McKenna,0.14,5109,5084,25,720,25,227493,226296,1197,28.8
5/26/16,syndication-aol-hp-test,3000,Home,Kitchen & Food,Marcy McKenna,0.16,7624,7469,155,1191,51,690314,678555,11759,23.35
5/26/16,syndication-aol-hp-test,2566,Apparel,Bottoms,Alison Deyette,0.4,3429,3409,20,1372,10,174259,173235,1024,137.2
5/26/16,syndication-aol-hp-test,2339,Beauty,Tools,Zoe Ruderman,0.12,1207,1199,8,140,13,108509,107826,683,10.77
5/25/16,syndication-aol-hp-test,2825,Home,Tech Accessories,Marcy McKenna,0.1,14614,14572,42,1500,55,701793,699373,2420,27.27
5/25/16,syndication-aol-hp-test,2405,Beauty,Tools,Marcy McKenna,0.1,12178,12014,164,1200,48,706065,697568,8497,25
5/25/16,syndication-aol-hp-test,2566,Apparel,Bottoms,Alison Deyette,0.18,7461,7402,59,1324,10,351833,349095,2738,132.4
5/25/16,syndication-aol-hp-test,3000,Home,Kitchen & Food,Marcy McKenna,0.09,42028,41711,317,3965,169,3908790,3888712,20078,23.46
5/25/16,syndication-aol-hp-test,3013,Beauty,Skincare,Susan Yara,0.27,12224,11748,476,3264,510,739155,710564,28591,6.4
5/25/16,syndication-aol-hp-test,2339,Beauty,Tools,Zoe Ruderman,0.12,5762,5736,26,704,67,514335,512318,2017,10.51
5/25/16,syndication-aol-hp-test,2985,Health & Fitness,Hydration,Jamie Greenberg,0.12,5784,5709,75,720,18,278997,276519,2478,40
5/24/16,paid-ads-facebook,2992,Home,Travel,Marcy McKenna,3.73,2284,2,2282,8527,152,207822,285,207537,56.1
5/24/16,syndication-aol-hp-test,3013,Beauty,Skincare,Susan Yara,0,1100,1098,2,0,0,41729,41575,154,
5/24/16,syndication-aol-hp-test,2992,Home,Travel,Marcy McKenna,1.48,32358,31135,1223,47892,850,3145534,3053306,92228,56.34
5/24/16,syndication-aol-hp-test,2953,Beauty,Skincare,Jamie Greenberg,0.21,12427,12301,126,2590,37,643314,636509,6805,70
5/24/16,syndication-aol-hp-test,2660,Beauty,Bath & Body,Zoe Ruderman,0.08,5847,5825,22,488,16,279058,278033,1025,30.5
5/24/16,syndication-aol-hp-test,2879,Home,Kitchen & Food,Marcy McKenna,0.28,15999,15835,164,4455,99,943309,936431,6878,45
5/24/16,syndication-aol-hp-test,2949,Accessories,Shoes,Zoe Ruderman,0.9,1859,1831,28,1668,12,75070,74066,1004,139
5/24/16,syndication-aol-hp-test,2032,Accessories,Shoes,Zoe Ruderman,0,1044,1029,15,0,0,47133,46383,750,
5/24/16,syndication-aol-hp-test,2339,Beauty,Tools,Zoe Ruderman,0.29,1757,1718,39,518,49,158633,155236,3397,10.57
5/23/16,syndication-aol-hp-test,2518,Home,Storage & Organization,Marcy McKenna,1.97,4718,4537,181,9308,52,418002,402976,15026,179
5/23/16,syndication-aol-hp-test,2339,Beauty,Tools,Zoe Ruderman,0.11,19115,19075,40,2052,195,1636449,1633910,2539,10.52
5/23/16,syndication-aol-hp-test,2949,Accessories,Shoes,Zoe Ruderman,0.45,10010,9928,82,4457,32,431108,427767,3341,139.28
5/23/16,syndication-aol-hp-test,2758,Accessories,Shoes,Zoe Ruderman,0.56,3465,3375,90,1935,15,151629,149299,2330,129
5/23/16,syndication-aol-hp-test,2115,Health & Fitness,Exercise,Leandra Rouse,0.34,6200,6107,93,2085,15,271724,267066,4658,139
5/23/16,syndication-aol-hp-test,2032,Accessories,Shoes,Zoe Ruderman,0.06,15406,15257,149,891,9,714997,707955,7042,99
5/23/16,syndication-aol-hp-test,3016,Accessories,Fashion Jewelry,Zoe Ruderman,0.13,4488,4352,136,604,7,212099,204829,7270,86.29
5/22/16,syndication-aol-hp-test,2985,Health & Fitness,Hydration,Jamie Greenberg,0.07,6954,6945,9,480,14,358056,357556,500,34.29
5/22/16,syndication-aol-hp-test,2385,Home,Storage & Organization,Marcy McKenna,0.45,1828,1811,17,816,17,103616,102594,1022,48
5/22/16,syndication-aol-hp-test,2944,Beauty,Skincare,Zoe Ruderman,0.69,4993,4941,52,3441.5,64,298691,296140,2551,53.77
5/21/16,syndication-aol-hp-test,2385,Home,Storage & Organization,Marcy McKenna,0.21,4758,4706,52,1008,21,259390,256159,3231,48
5/21/16,syndication-aol-hp-test,3000,Home,Kitchen & Food,Marcy McKenna,0.17,2759,2689,70,459,21,290891,285203,5688,21.86
5/21/16,syndication-aol-hp-test,580,Home,Cleaning & Laundry Care,Kelley Moore,0.13,2387,2320,67,300,4,75844,73473,2371,75
5/21/16,syndication-aol-hp-test,2518,Home,Storage & Organization,Marcy McKenna,2.31,5114,4969,145,11814,66,486095,473956,12139,179
5/21/16,syndication-aol-hp-test,2584,Home,Cleaning & Laundry Care,Marcy McKenna,0.47,1296,1280,16,609,21,78292,77381,911,29
5/20/16,syndication-aol-hp-test,2999,Accessories,Shoes,Anita Patrickson,0.16,7343,7212,131,1200,10,247330,241803,5527,120
5/20/16,syndication-aol-hp-test,3000,Home,Kitchen & Food,Marcy McKenna,0.3,1034,980,54,315,15,106180,100977,5203,21
5/20/16,syndication-aol-hp-test,2530,Home,Kitchen & Food,Marcy McKenna,0.19,1067,1056,11,200,5,66482,65988,494,40
5/20/16,syndication-aol-hp-test,2584,Home,Cleaning & Laundry Care,Marcy McKenna,0.41,6800,6698,102,2813,97,391894,385033,6861,29
5/20/16,syndication-aol-hp-test,580,Home,Cleaning & Laundry Care,Kelley Moore,0.2,10730,10437,293,2100,28,345937,335243,10694,75
5/20/16,syndication-aol-hp-test,3001,Accessories,Fashion Jewelry,Alison Deyette,0.24,3190,3010,180,754,26,124401,117376,7025,29
5/20/16,syndication-aol-hp-test,2967,Home,Storage & Organization,Marcy McKenna,0.07,36163,36042,121,2580,86,1734314,1728926,5388,30
5/19/16,syndication-aol-hp-test,2107,Beauty,Fragrance ,Mikaela South,0.25,1045,1038,7,260,4,36085,35892,193,65
5/19/16,syndication-aol-hp-test,2988,Beauty,Hair,Clariss Rubenstein,0.26,7394,7113,281,1935,15,586398,564505,21893,129
5/19/16,syndication-aol-hp-test,2530,Home,Kitchen & Food,Marcy McKenna,0.23,5884,5820,64,1360,34,341155,337841,3314,40
5/19/16,syndication-aol-hp-test,3000,Home,Kitchen & Food,Marcy McKenna,0.3,37511,36835,676,11148,511,3875169,3828945,46224,21.82
5/18/16,syndication-aol-hp-test,2115,Health & Fitness,Exercise,Leandra Rouse,0.19,1497,1462,35,278,2,69778,68077,1701,139
5/18/16,syndication-aol-hp-test,2995,Apparel,Dresses,Karla Cavalli,0.62,14370,13839,531,8975,114,709216,678349,30867,78.73
5/18/16,syndication-aol-hp-test,2107,Beauty,Fragrance ,Mikaela South,0.14,17986,17826,160,2500,67,605152,599800,5352,37.31
5/18/16,syndication-aol-hp-test,2949,Accessories,Shoes,Zoe Ruderman,0.55,3044,2998,46,1668,12,125142,123255,1887,139
5/18/16,syndication-aol-hp-test,2980,Home,Cleaning & Laundry Care,Marcy McKenna,0.09,23421,23090,331,2044,460,1155768,1136528,19240,4.44
5/17/16,syndication-aol-hp-test,2495,Home,Home Decor,Marcy McKenna,0.5,2580,2566,14,1280,8,143268,142673,595,160
5/17/16,syndication-aol-hp-test,2934,Beauty,Tools,Jamie Greenberg,0,7277,7092,185,0,0,806471,794399,12072,
5/17/16,syndication-aol-hp-test,2488,Beauty,Skincare,Zoe Ruderman,0.06,3939,3925,14,230,4,189701,189183,518,57.5
5/17/16,syndication-aol-hp-test,2115,Health & Fitness,Exercise,Leandra Rouse,0.27,6741,6609,132,1807,13,301812,294885,6927,139
5/17/16,syndication-aol-hp-test,2949,Accessories,Shoes,Zoe Ruderman,0.41,14225,14112,113,5838,42,581863,576723,5140,139
5/17/16,syndication-aol-hp-test,2813,Beauty,Skincare,Susan Yara,0.01,16020,15990,30,98,2,500755,499439,1316,49
5/17/16,syndication-aol-hp-test,2107,Beauty,Fragrance ,Mikaela South,0.12,4411,4364,47,520,15,165752,163703,2049,34.67
5/16/16,syndication-aol-hp-test,2868,Accessories,Shoes,Anita Patrickson,0.56,4146,4091,55,2303,47,181835,179971,1864,49
5/16/16,syndication-aol-hp-test,2495,Home,Home Decor,Marcy McKenna,0.27,9558,9487,71,2560,16,510189,506515,3674,160
5/16/16,syndication-aol-hp-test,2944,Beauty,Skincare,Zoe Ruderman,0.6,20387,19932,455,12271.5,346,1200127,1170166,29961,35.47
5/13/16,syndication-aol-hp-test,2968,Accessories,Fashion Jewelry,Tienlyn Jacobson,0.32,7421,7219,202,2340,60,273483,266561,6922,39
5/13/16,syndication-aol-hp-test,2326,Home,Kitchen & Food,Marcy McKenna,0.45,1501,1479,22,675,10,97806,96584,1222,67.5
5/13/16,syndication-aol-hp-test,2729,Home,Kitchen & Food,Marcy McKenna,0.1,2776,2726,50,270,9,163953,161074,2879,30
5/13/16,syndication-aol-hp-test,2985,Health & Fitness,Hydration,Jamie Greenberg,0.1,19976,19813,163,1970,56,756583,749549,7034,35.18
5/12/16,syndication-aol-hp-test,2896,Beauty,Skincare,Jenny Patinkin,0.38,15097,14958,139,5700,150,795029,788480,6549,38
5/12/16,syndication-aol-hp-test,2326,Home,Kitchen & Food,Marcy McKenna,0.2,3853,3804,49,775,15,245023,242701,2322,51.67
5/12/16,syndication-aol-hp-test,2729,Home,Kitchen & Food,Marcy McKenna,0.16,6176,6055,121,960,32,375934,369425,6509,30
5/12/16,syndication-aol-hp-test,2981,Accessories,Shoes,Zoe Ruderman,0.27,5404,5258,146,1478,19,205039,199269,5770,77.79
5/12/16,syndication-aol-hp-test,2032,Accessories,Shoes,Zoe Ruderman,0,1152,1142,10,0,0,56480,56001,479,
5/12/16,syndication-aol-hp-test,2825,Home,Tech Accessories,Marcy McKenna,0.26,3305,3249,56,860,43,219293,215909,3384,20
5/11/16,syndication-aol-hp-test,2879,Home,Kitchen & Food,Marcy McKenna,0.24,16707,16536,171,3960,88,1018077,1011232,6845,45
5/11/16,syndication-aol-hp-test,2729,Home,Kitchen & Food,Marcy McKenna,0.17,17535,17201,334,3030,101,1153187,1134099,19088,30
5/11/16,syndication-aol-hp-test,2180,Home,Travel,Marcy McKenna,0.28,7915,7765,150,2254,23,708340,696278,12062,98
5/11/16,syndication-aol-hp-test,2032,Accessories,Shoes,Zoe Ruderman,0.08,5079,5037,42,396,4,249027,247359,1668,99
5/11/16,syndication-aol-hp-test,2113,Beauty,Skincare,Zoe Ruderman,1.03,12168,11776,392,12583,97,809542,782097,27445,129.72
5/10/16,syndication-aol-hp-test,2180,Home,Travel,Marcy McKenna,0.2,12455,12258,197,2548,26,1114487,1099450,15037,98
5/10/16,syndication-aol-hp-test,2032,Accessories,Shoes,Zoe Ruderman,0.15,7251,7179,72,1089,11,329725,327056,2669,99
5/10/16,syndication-aol-hp-test,2879,Home,Kitchen & Food,Marcy McKenna,0.21,17727,17602,125,3735,83,1038728,1032742,5986,45
5/10/16,syndication-aol-hp-test,2977,Apparel,Dresses,Tienlyn Jacobson,0.13,4112,3933,179,552,8,161632,152802,8830,69
5/10/16,syndication-aol-hp-test,2266,Beauty,Oral Care,Zoe Ruderman,0.09,2593,2552,41,225,1,156941,154022,2919,225
5/10/16,syndication-aol-hp-test,2211,Beauty,Skincare,Jenny Patinkin,0.3,8319,8194,125,2530,46,367465,361690,5775,55
5/9/16,syndication-aol-hp-test,943,Beauty,Tools,Mikaela South,0.11,6254,6113,141,693,7,523705,509777,13928,99
5/9/16,syndication-aol-hp-test,2266,Beauty,Oral Care,Zoe Ruderman,0.11,16000,15818,182,1800,8,916595,906346,10249,225
5/9/16,syndication-aol-hp-test,3030,Home,Cleaning & Laundry Care,Zoe Ruderman,0.37,13871,13636,235,5162,178,856507,843310,13197,29
5/9/16,syndication-aol-hp-test,2115,Health & Fitness,Exercise,Leandra Rouse,0.12,1198,1166,32,139,1,55148,53908,1240,139
5/7/16,syndication-aol-hp-test,2844,Home,Travel,Marcy McKenna,1.04,1701,1680,21,1764,36,109184,108521,663,49
5/6/16,syndication-aol-hp-test,2429,Apparel,Denim,Zoe Ruderman,0.42,10998,10929,69,4606,47,526160,522696,3464,98
5/6/16,syndication-aol-hp-test,2983,Accessories,Bags,Tienlyn Jacobson,0.32,4172,4050,122,1326,34,161965,155843,6122,39
5/5/16,syndication-aol-hp-test,2967,Home,Storage & Organization,Marcy McKenna,0.13,11400,11269,131,1440,48,571679,564521,7158,30
5/5/16,syndication-aol-hp-test,2966,Apparel,Dresses,Zoe Ruderman,0.37,6600,6420,180,2440,36,338891,329068,9823,67.78
5/5/16,syndication-aol-hp-test,1886,Beauty,Skincare,Mikaela South,0.28,3235,3224,11,913,22,183432,182454,978,41.5
5/5/16,syndication-aol-hp-test,2957,Beauty,Tools,Zoe Ruderman,0.19,3064,3001,63,597,3,239259,236100,3159,199
5/5/16,syndication-aol-hp-test,2724,Beauty,Skincare,Jenny Patinkin,0.38,4352,4231,121,1647,19,263304,254865,8439,86.68
5/4/16,syndication-aol-hp-test,2957,Beauty,Tools,Zoe Ruderman,0.78,4331,4276,55,3383,17,352416,348375,4041,199
5/4/16,syndication-aol-hp-test,2963,Beauty,Skincare,Jenny Patinkin,0.25,22586,22284,302,5610,102,1014126,996938,17188,55
5/4/16,syndication-aol-hp-test,2684,Home,Storage & Organization,Marcy McKenna,0.18,19480,19314,166,3500,140,1378343,1367884,10459,25
